id,topic,type,question,option1,option2,option3,option4,correct_option,correct_option_number
33389057,Obsessive/Compulsive Disorders,Diagnostic,"In individuals with schizo-obsessive traits, what was observed in their executive control network's functional connectivity?",No significant changes observed,Decreased connectivity compared to controls,Diminished connectivity only during tasks,Increased connectivity compared to controls,Decreased connectivity compared to controls,2
20947638,Anxiety,Factoid,Which mGlu2 potentiator was evaluated for its potential anxiolytic/antidepressant properties?,Imipramine,Fluoxetine,Sertraline,THIIC,THIIC,4
34904694,Anxiety,Prognostic,What potential outcome may arise from gaps in patient education about postoperative pain management and opioid use?,Improved recovery time,Increased patient anxiety,Decreased opioid dependency,Lower hospital readmission rates,Increased patient anxiety,2
35018522,Anxiety,Prognostic,What factors are likely to contribute to lower levels of death anxiety among advanced cancer patients?,Level of physical activity,High self-esteem and resilience,Active social life,Age and gender,High self-esteem and resilience,2
21466079,Anxiety,Factoid,What method improved the accuracy of anxiety recall in young volleyball players before competition?,Watching a video,Group discussion,Deep breathing exercises,Physical warm-up,Watching a video,1
35133887,Anxiety,Preventive,What therapy combination is being examined for its effectiveness in reducing anxiety symptoms in patients receiving EMDR?,EMDR combined with cognitive behavioral therapy,Only cognitive behavioral therapy,Pharmacotherapy,Group therapy,EMDR combined with cognitive behavioral therapy,1
36036676,Anxiety,Factoid,Which adjunctive therapy was explored for its feasibility in treating anxiety during the COVID-19 pandemic?,Mindfulness-based cognitive therapy,Dialectical behavior therapy,Exposure therapy,Pharmacotherapy,Mindfulness-based cognitive therapy,1
21036185,Anxiety,Factoid,Which inbred mouse strain has been identified as having a high-anxiety phenotype based on behavioral evaluation?,BALB/c,C57BL/6J,A/J,FVB/N," BALB/c
",1
33587026,Anxiety,Preventive,Which psychological factors might be targeted to alleviate fears related to social distancing during pandemics?,Physical fitness,Depression severity,Increased socializing,Improved nutrition,Depression severity,2
34419526,Anxiety,Diagnostic,What common neurological condition is potentially exacerbated by footshock stress as shown in rat models?,Bipolar disorder,Post-traumatic stress disorder,Obsessive-compulsive disorder,Schizophrenia,Post-traumatic stress disorder,2
22636255,Anxiety,Preventive,What intervention is suggested to mitigate the adverse effects of maternal separation on hippocampal proteins associated with anxiety and depression?,Cognitive therapy,Pharmacological treatment,Voluntary exercise,Dietary supplementation,Voluntary exercise,3
35986100,Anxiety,Preventive,Which coping strategy was associated with a decreased likelihood of anxiety in young breast cancer survivors?,Engagement in physical activity,Alcohol/drug use,Emotional support from family,Avoidance strategies,Emotional support from family,3
35926778,Anxiety,Factoid,Which essential oil was shown to have an anxiolytic effect in adult zebrafish?,Roman chamomile,Peppermint,Lavender,Bergamot,Roman chamomile,1
34337812,Anxiety,Prognostic,How might managing work-life balance impact nurses' psychological well-being during crises?,Worsen family dynamics,Increase job dissatisfaction,Reduce professional identity,Decrease mental health deterioration,Decrease mental health deterioration,4
34181746,Anxiety,Factoid,What antidepressant is commonly associated with hair loss as a side effect?,Fluoxetine,Citalopram,Sertraline,Paroxetine,Paroxetine,4
34941556,Anxiety,Factoid,What relationship descriptor was most commonly selected by adolescents to characterize their own use of personal technology?,Addictive,Essential,Distractive,Detrimental,Essential,2
35769725,Anxiety,Preventive,What auditory stimulation method could potentially reduce mind wandering in individuals exhibiting high trait levels of this phenomenon?,Monaural theta beats,Binaural beats,Silence,Sine tones,Monaural theta beats,1
21723096,Anxiety,Preventive,What potential benefit might D-cycloserine provide when combined with cognitive behavioral therapy for delusions in patients with schizophrenia?,Increased social support,Reduction of medication side effects,Enhancement of insight,Prevention of relapses,Enhancement of insight,3
34931763,Anxiety,Diagnostic,What types of anxiety were reported most frequently by parents of preschool children during the 2020 lockdown?,Separation and physical injury anxiety,General anxiety and OCD,Performance anxiety and health anxiety,Social anxiety and panic attacks,Separation and physical injury anxiety,1
21331639,Anxiety,Diagnostic,What underlying factor is significantly associated with sluggish cognitive tempo in children diagnosed with attention-deficit/hyperactivity disorder?,Nutritional deficiencies,Genetic predisposition,Environmental stressors,Neurocognitive deficit,Neurocognitive deficit,4
28748060,Anxiety,Preventive,What is a suggested approach to potentially prevent bilateral self-enucleation in individuals with bipolar disorder?,Increased medication dosage,Cognitive behavioral therapy only,Avoiding substance use,Regular psychiatric evaluations,Regular psychiatric evaluations,4
36231852,Anxiety,Preventive,What strategies could potentially increase the utilization of mental health services among Palestinian-Arab women?,Addressing stigma-related barriers,Lowering costs,Introducing new therapies,Improving service quality,Addressing stigma-related barriers,1
20691567,Anxiety,Diagnostic,Which cognitive mechanism is suggested to uniquely predict sustained elevations in contamination estimations within contamination fear?,Obsessive beliefs,Disgust propensity,Delayed disengagement from disgust cues,Memory biases,Delayed disengagement from disgust cues,3
28278448,Anxiety,Factoid,Which screening tool was identified as valuable for detecting anxiety and depression in primary care settings?,A ten-item questionnaire,A five-item screening scale,A structured clinical interview,An online assessment tool,A five-item screening scale,2
27748619,Anxiety,Preventive,What overarching factor is suggested to address in treatment strategies for child psychopathology?,Age-related factors,Externalizing syndromes,Specific internalizing factors,General psychopathology factor,General psychopathology factor,4
35927487,Anxiety,Diagnostic,What psychological condition did one-third of parents of preterm infants in the NICU screen positive for?,Depression or Anxiety,Bipolar Disorder,Eating Disorders,Schizophrenia,Depression or Anxiety,1
34698606,Anxiety,Prognostic,How do anxiety sensitivity and intolerance of uncertainty potentially influence behaviors regarding health safety during a pandemic?,By increasing emotional regulation,By enhancing repeated hygiene behaviors,By decreasing adherence to safety protocols,By predicting health-related worries and behaviors,By predicting health-related worries and behaviors,4
23046780,Anxiety,Prognostic,How does the interaction between rumination and worry affect subjective sleep quality in individuals experiencing sleep disturbances?,Rumination increases sleep quality,Rumination worsens sleep quality,Worry has no effect on sleep quality,Worry decreases sleep quality,Rumination worsens sleep quality,2
22036735,Anxiety,Diagnostic,"In patients with internet addiction disorder, what psychological symptoms were positively correlated with the number of weekly hours spent online?",Depression and anxiety,Social withdrawal,Obsessive behaviors,Bipolar symptoms,Depression and anxiety,1
35455528,Anxiety,Diagnostic,What psychological symptoms are more prevalent among patients with Mayer-Rokitansky-KÃ¼ster-Hauser syndrome compared to their non-affected peers?,Anxiety and depression,Bipolar disorder,Schizophrenia,Post-traumatic stress disorder,Anxiety and depression,1
28433091,Anxiety,Preventive,Which intervention strategy is proposed to prevent anxiety disorders in young children at risk due to inhibited temperament?,Online parenting programs,Medication therapy,Behavioral modification plans,Group therapy for children,Online parenting programs,1
35151030,Anxiety,Factoid,Which neuropsychiatric disorder was associated with decreased levels of glutamate in the Anterior Cingulate Cortex?,Bipolar Disorder,Major Depressive Disorder,Generalized Anxiety Disorder,Schizophrenia,Major Depressive Disorder,2
27149139,Anxiety,Diagnostic,What underlying cause may contribute to the inconsistent results observed in anxiety-like behaviors following traumatic brain injury in mice?,Environmental influences on stress,Sexual dimorphism in response,Differences in injury models,Baseline genetic differences,Differences in injury models,3
35661754,Anxiety,Factoid,What condition is identified as having the highest prevalence of anxiety symptomatology among individuals with syndromic intellectual disability?,Rett syndrome,Down syndrome,Williams syndrome,Prader-Willi syndrome,Rett syndrome,1
33673594,Anxiety,Factoid,"Which hormone, associated with stress response, has been identified as having increased levels following acute psychological stress?",Adrenaline,Insulin,Cortisol,Ghrelin,Cortisol,3
33666500,Anxiety,Factoid,Which intervention aimed to alleviate levels of anxiety and compassion fatigue in health professionals providing end-of-life care?,Cognitive Behavioral Therapy,Mindfulness-Based Compassion Training,Acceptance and Commitment Therapy,Dialectical Behavior Therapy,Mindfulness-Based Compassion Training,2
33828499,Anxiety,Prognostic,How might the emotional-oriented coping strategies during the COVID-19 pandemic influence anxious symptoms in children?,Promote physical activity,Encourage social interactions,Worsen emotional well-being,Lead to improved coping skills,Worsen emotional well-being,3
27475254,Anxiety,Diagnostic,Which factor is proposed as an underlying mechanism in the relationship between discrimination experiences and anxiety symptoms among sexual minority adults?,Social support,Distress tolerance,Coping strategies,Physical health,Distress tolerance,2
35409741,Anxiety,Diagnostic,What mental health symptoms were notably prevalent among nursing home staff during the COVID-19 health crisis?,Bipolar disorder symptoms,Obsessive-compulsive symptoms,Anxiety symptoms,Eating disorders,Anxiety symptoms,3
35603453,Anxiety,Prognostic,What clinical feature is associated with an increased risk of developing levodopa-induced dyskinesia in Parkinson's disease patients?,Lower initial levodopa dose,Higher seizure frequency,Older age,Higher levels of anxiety,Higher levels of anxiety,4
21546861,Anxiety,Prognostic,How might repeated prenatal cocaine exposure (PCE) affect stress response in children later in life?,Have no effect on stress response,Blunt normal stress response,Improve cortisol production,Enhance normal stress response,Blunt normal stress response,2
34900273,Anxiety,Preventive,What method may potentially target brain delivery of the extract from Rose damascene to improve treatment outcomes for anxiety?,Transdermal patches,Oral supplementation,Solid lipid nanoparticles,Inhalation therapy,Solid lipid nanoparticles,3
21930262,Anxiety,Diagnostic,What cognitive process is associated with exacerbated self-appraisals of performance in children with high social anxiety following social stress?,Constructive self-reflection,Negative post-event processing,Positive post-event processing,Neutral post-event processing,Negative post-event processing,2
35176683,Anxiety,Diagnostic,What factor is identified as a correlate of elevated fear of cancer recurrence in breast cancer patients during the COVID-19 pandemic?,Marital status,Genetic predisposition,Geographic location,Age,Marital status,1
33481790,Anxiety,Diagnostic,What is a significant factor associated with anxiety symptoms among individuals affected by leprosy?,Presence of disability,Educational attainment,High social status,Age at diagnosis,Presence of disability,1
36461269,Anxiety,Preventive,What nutritional compounds have been suggested to potentially alleviate symptoms of anxiety and depression through gut microbiome regulation?,Ferulic acid and feruloylated oligosaccharides,Probiotics and prebiotics,Omega-3 fatty acids,Vitamins and minerals,Ferulic acid and feruloylated oligosaccharides,1
33295245,Anxiety,Factoid,Which rating scale was utilized to assess anxiety levels in psychiatric outpatients during the COVID-19 lockdown?,Beck Anxiety Inventory,Hamilton Anxiety Rating Scale,Generalized Anxiety Disorder 7-item scale,State-Trait Anxiety Inventory,Hamilton Anxiety Rating Scale,2
24416612,Anxiety,Preventive,Which medication is noted as a potential treatment for anxiety disorders in patients with platelet dysfunction?,Venlafaxine,Clomipramine,Buspirone,Citalopram,Buspirone,3
29976948,Anxiety,Preventive,"What biological factor may be influenced by elevated glucocorticoids, potentially mitigating autoimmune neuropsychiatric disorders?",Dopaminergic signaling,Cytokine levels,Neurotransmitter balance,Serotonergic activity,Cytokine levels,2
37598625,Anxiety,Factoid,Which intervention showed significantly lower symptom severity for generalized anxiety disorder compared to a control group?,Nutritional therapy,Hypnotherapy,Meditation practices,Cognitive Behavioral Therapy,Cognitive Behavioral Therapy,4
21668466,Anxiety,Factoid,What type of sleep problems were significantly higher in children with developmental co-ordination disorder compared to typically developing children?,Night terrors,Sleep walking,Sleep apnea,Bedtime resistance,Bedtime resistance,4
34145679,Anxiety,Factoid,What gastrointestinal symptom was reported by a higher percentage of individuals during the COVID-19 pandemic compared to the previous year?,Self-reported milk intolerance,Functional dyspepsia,Irritable bowel syndrome,Heartburn,Irritable bowel syndrome,3
35292971,Anxiety,Diagnostic,Which psychiatric polygenic risk score is associated with specific anxiety symptoms in children and adolescents?,Depressive disorder,Obsessive-compulsive disorder,Bipolar disorder,Neuroticism,Neuroticism,4
34260998,Anxiety,Preventive,What practice is associated with higher levels of psychological well-being and stress coping among participants dealing with anxiety or depression?,Tai Chi,Conscious dance,Meditation,Yoga,Conscious dance,2
34773854,Anxiety,Diagnostic,Which type of behavior problem is associated with lower cognitive performance in preterm children?,Withdrawn problems,Aggressive behavior,Hyperactivity,Overeating,Withdrawn problems,1
35061775,Anxiety,Prognostic,How may profiles of excessive school anxiety influence the risk of developing psychopathological symptoms in adolescents?,Reduce anxiety levels,Increase the level of hostility,Have no effect on interpersonal sensitivity,Decrease the likelihood of depressive symptoms,Increase the level of hostility,2
36406850,Anxiety,Preventive,What factor can mitigate the negative impacts of fear during crises and promote flourishing?,Search for meaning,Anxiety management,Presence of meaning,Fear of COVID-19,Presence of meaning,3
22608015,Anxiety,Prognostic,How does exposure to adverse childhood experiences relate to future mental health disorders in active military personnel?,Increases vulnerability,Enhances resilience,Decreases severity,Has no effect,Increases vulnerability,1
36001201,Depression,Diagnostic,What is the effect of low relationship control on mental health outcomes among women with HIV?,Enhanced ART adherence,No impact on mental health,Improved physical health,Increased odds of depression,Increased odds of depression,4
27534369,Depression,Prognostic,What do sleep disturbances in depressed youth potentially indicate about their mental health outcomes?,Increased risk of anxiety,Improved social functioning,Greater likelihood of recovery,Potential warning signs for suicidal behaviors,Potential warning signs for suicidal behaviors,4
35397334,Depression,Prognostic,What type of psychiatric disorders are likely to occur more frequently in adolescents exhibiting circadian rhythm disruptions?,Personality disorders,Bipolar disorder,Anxiety disorders,Eating disorders,Anxiety disorders,3
33858874,Depression,Diagnostic,Which pandemic-related stressors were identified as risk factors for anxiety and depression among young people in low/middle-income countries?,Educational achievements,Health risks/expenses,High income level,Increased physical activity,Health risks/expenses,2
34020203,Depression,Preventive,What intervention is suggested to improve mental health outcomes for caregivers of children with developmental disorders?,Sleep hygiene education,Mindfulness training,Nutritional counseling,Physical activity program,Mindfulness training,2
33455615,Depression,Preventive,What screening method could potentially target interventions for better health outcomes in patients with depression undergoing vascular surgery?,Psychological assessment,Nutritional evaluation,Cardiovascular imaging,Blood pressure monitoring,Psychological assessment,1
34100322,Depression,Diagnostic,Which circadian phase marker may indicate depressive mood in postpartum mothers?,Urinary cortisol levels,Salivary melatonin concentration,Heart rate variability,Blood glucose levels,Salivary melatonin concentration,2
21848960,Depression,Diagnostic,What biological marker has been associated with neuronal plasticity changes during alcohol dependence and may reflect the maintenance of abstinence?,Serum GGT,Serum BDNF,Oxytocin,Corticosterone,Serum BDNF,2
23303048,Depression,Diagnostic,What is a significant genetic factor contributing to impairment in neurogenesis and increased depressive behavior in fosB-null mice?,5-HTTLPR,Î”FosB,BDNF,fosB,fosB,4
22970357,Depression,Diagnostic,What demographic factors influence the likelihood of receiving depression treatment among the elderly with cancer?,Comorbidity,Gender,Income,Age,Comorbidity,1
38868636,Depression,Diagnostic,What atypical symptom was reported as an early indication of progressive supranuclear palsy in the case presented?,Chronic fatigue,Palilalia,Emotional instability,Severe anxiety,Palilalia,2
34469485,Depression,Prognostic,What change in movement behavior is associated with a decrease in depressive symptoms among adolescents?,Increasing sleep duration,Increasing recreational screen time,Increasing screen time,Decreasing sleep duration,Increasing sleep duration,1
34807686,Depression,Prognostic,How are changes in adolescent social interactions associated with subsequent depressive symptoms during crises like COVID-19?,Increased positive interactions lead to more depressive symptoms,Reduced social interactions mitigate depressive symptoms,Increased peer interactions reduce depressive symptoms,Negative interactions with family correlate with increased depressive symptoms,Negative interactions with family correlate with increased depressive symptoms,4
18221788,Depression,Prognostic,How does frequent childhood bullying behavior impact the risk of developing severe depression in late adolescence?,Decreases risk,Increases risk,No effect,Unknown outcome,Increases risk,2
33957704,Depression,Preventive,What intervention could potentially improve quality of life by addressing high anxiety levels in breast cancer patients?,Engaging in physical activity,Therapeutic counseling,Dietary changes,Reducing medication,Therapeutic counseling,2
36041588,Depression,Prognostic,What potential mental health outcomes may be associated with prenatal hypoxia in offspring?,Increased likelihood of neurodevelopmental disorders,Higher chance of developing autism,Greater risk of diabetes,Increased risk of obesity,Increased likelihood of neurodevelopmental disorders,1
27870419,Depression,Factoid,What sex difference has been observed in the tendency to develop BDNF deficiency-related diseases such as depression?,Higher in females,Higher in children,Equal in both sexes,Higher in males,Higher in females,1
22832857,Depression,Diagnostic,What biological mechanisms are suggested to link cardiovascular disease with specific subtypes of depression?,Neurotransmitter receptor activation,Dopamine receptor dysregulation,Serotonin metabolism alterations,HPA axis hyperactivity,HPA axis hyperactivity,4
34122671,Depression,Preventive,What role does sleep quality play in the prevention of poor health outcomes related to depression and chronic diseases?,Facilitating immune response,Increasing physical activity,Improving nutritional intake,Enhancing social interactions,Facilitating immune response,1
34167025,Depression,Diagnostic,What factor appears to moderate the relationship between early depressive symptoms and maternal emotional availability in the context of mother-infant interactions?,Perceived support from family,Perceived support from friends,Maternal education level,Perceived partner support,Perceived partner support,4
34540477,Depression,Preventive,What strategies should be implemented to mitigate the adverse outcomes associated with maternal depression during pregnancy?,Enhancing dietary intake,Increasing physical activity,Screening for mental health,Improving social networks,Screening for mental health,3
33947334,Depression,Diagnostic,Which factors are indicated to hinder self-confidence to live alone among community-dwelling older adults?,Chronic illness,Depression,High income,Physical activity,Depression,2
26857479,Depression,Factoid,What measure is widely used to detect and prevent suicidal ideation in patients?,Suicidal Ideation Questionnaire,Depressive Symptom Inventory Suicidality Subscale,Hamilton Depression Rating Scale,Beck Depression Inventory,Beck Depression Inventory,4
21711452,Depression,Preventive,What associated psychiatric symptoms should be targeted for early interventions to improve social functioning in young individuals at risk of psychosis?,Social anxiety and depressive symptoms,Obsessive symptoms and anxiety,Behavioral issues and hallucinations,Substance abuse and aggression,Social anxiety and depressive symptoms,1
36238936,Depression,Preventive,Which factor is considered an independent risk factor for early-onset post-stroke depression in patients with acute ischemic stroke?,Female gender,History of substance abuse,Total small vessel disease burden,Advanced age,Total small vessel disease burden,3
22793792,Depression,Prognostic,How does a strong psychosocial safety climate influence the future incidence of depression among workers facing high job demands?,It has no effect on depression,It increases the risk of severe depression,It reduces the likelihood of developing depression,It only affects male workers,It reduces the likelihood of developing depression,3
32425087,Depression,Diagnostic,What immunometabolic characteristic was significantly associated with atypical-like depressive symptom profiles?,Waist circumference,Vitamin D levels,Blood pressure,CRP levels,Waist circumference,1
21700276,Depression,Factoid,Which childhood ADHD feature showed a significant relationship with major depressive disorder in adulthood?,Concentration,Hyperactivity,Impulsivity,Mood instability,Mood instability,4
16624467,Depression,Preventive,Which treatment strategy has shown significant clinical improvement for patients with alcohol dependence alongside depressive disorders?,Mindfulness-based therapy,Cognitive behavioral therapy,Mirtazapine treatment,Electroconvulsive therapy,Mirtazapine treatment,3
23691270,Depression,Diagnostic,Which neurotrophic factor is primarily associated with the modulation of depressive behavior in major depressive disorder?,Vascular Endothelial Growth Factor,Neurotrophin-3,Brain-Derived Neurotrophic Factor,Nerve Growth Factor,Brain-Derived Neurotrophic Factor,3
25115491,Depression,Prognostic,In what way does the presence of bullying behavior influence suicide ideation in children with psychiatric disorders?,It decreases rates of suicide ideation,"It only affects victims, not bullies",It significantly increases suicide ideation rates,It has no effect on suicide ideation,It significantly increases suicide ideation rates,3
21530105,Depression,Diagnostic,What subtype of inner-city drug users exhibited the highest risk for depressive symptoms based on drug use and administration route?,Heroin snorting,Polydrug and polyroute,Heroin injecting,Crack smoking,Polydrug and polyroute,2
23021319,Depression,Factoid,"In patients with major depressive disorder, which variable is consistently associated with a weaker loudness dependence of auditory evoked potentials?",Marital status,Older age,Female gender,Higher education,Older Age,2
36318342,Depression,Factoid,What factor is identified as a risk for cancer-related fatigue in patients with colorectal cancer?,Surgery refusal,High physical activity levels,Female sex,Older age,Female sex,3
29023080,Depression,Diagnostic,What factor increases the risk of dementia in older adults with depression?,Severity and duration of symptoms,Age at diagnosis,Family history of depression,Gender differences,Severity and duration of symptoms,1
12664306,Depression,Diagnostic,Which behavioral trait significantly contributes to the vulnerability of young men to suicide and premature death?,Emotional expressiveness,Community involvement,High academic achievement,Reluctance to seek help,Reluctance to seek help,4
26976771,Depression,Diagnostic,"Among older adults, which type of self-harm behavior was significantly more common than nonsuicidal self-injury in emergency department visits?",Depression-related behaviors,Substance use disorders,Suicide attempts,Anxiety attacks,Suicide attempts,3
28284097,Depression,Prognostic,What is the relationship between vascular risk-factor burden after age 65 and the risk of developing incident depression?,No relationship,Decreased risk,Increased risk,Temporary improvement,Increased risk,3
34352274,Depression,Preventive,Which phytochemical from Myrsine coriacea is suggested to have potential antidepressant-like effects through its antioxidant properties?,Myrsinoic acid B,Flavonoids,Alkaloids,Myrsinoic acid A,Myrsinoic acid B,1
22537731,Depression,Preventive,What strategies are suggested to enhance family involvement in treating youth depressive disorders?,Individual counseling,Family-based treatment,Cognitive behavior therapy,Medication therapy only,Family-based treatment,2
20924816,Depression,Preventive,What intervention was assessed for its impact on the mood and quality of life in older individuals?,Physical exercise,Silver Memories radio program,Medication management,Group therapy,Silver Memories radio program,2
35608048,Depression,Factoid,Which tricyclic antidepressant is mentioned as widely used for treating depressive disorder?,Amitriptyline,Clomipramine,Nortriptyline,Doxepin,Amitriptyline,1
24502531,Depression,Diagnostic,Which factors are most likely associated with increased severity and duration of depression among low-income working mothers?,Social support systems,Stable employment conditions,High educational attainment,Abusive spousal relationships,Abusive spousal relationships,4
24432951,Depression,Prognostic,How do dynamic risk factors for suicidal ideation differ among community-dwelling adults based on age and depression status?,Older adults show the greatest risk,They only relate to major depression,They are consistently low across all age groups,Younger adults display higher prevalence,Younger adults display higher prevalence,4
35900251,Depression,Prognostic,What factors significantly predict suicide risk among patients with severe depressive episodes?,History of substance abuse,Social support and therapy engagement,Gender and age,Psychotic symptoms and depression scale scores,Psychotic symptoms and depression scale scores,4
36474788,Depression,Preventive,Which psychological factors are suggested as potential targets for interventions to improve postoperative outcomes in knee arthroplasty?,Pain catastrophizing and depressive symptoms,Physical therapy and rehabilitation,Anxiety and memory,Sleep quality and nutrition,Pain catastrophizing and depressive symptoms,1
22329388,Depression,Prognostic,What relationship characteristics are likely to alter the impact of relationship satisfaction on depressive symptoms in emerging adults?,"Relationship length, interdependence, commitment","Cultural beliefs, past relationships, hobbies","Socioeconomic status, educational background, age","Family background, work status, health","Relationship length, interdependence, commitment",1
33750268,Depression,Prognostic,How does the frequency of a spouse's hospitalization relate to the mental health of the partner over time?,No effect on partner health,Increased partner depression,Increased family support,Decreased partner anxiety,Increased partner depression,2
28900452,Depression,Preventive,What aspect of maternal health was positively impacted by postpartum home care services provided to mothers?,Breastfeeding difficulties,Postpartum depression,Fatigue,All of the above,All of the above,4
20733591,Depression,Diagnostic,Which factor is significantly associated with increased depressive symptoms in individuals with spinal cord injury?,Increased physical activity,Optimal pain management,High levels of social support,Self-reported overweight status,Self-reported overweight status,4
22897108,Depression,Diagnostic,What narrative indicators were associated with increased depressive symptoms among at-risk adolescent females engaging in meaning-making about past negative experiences?,External locus of control,Effective coping strategies,Positive self-reflection,Optimistic viewpoints,External locus of control,1
37105147,Depression,Preventive,What intervention could potentially mitigate the adverse mental health impacts experienced by individuals with severe mental health conditions during pandemics?,Complete isolation,Support hotlines only,Mandatory group therapy,Increased access to teletherapy,Increased access to teletherapy,4
22413563,Depression,Prognostic,What factor significantly increases the suicide risk in outpatients treated for substance use disorder compared to those treated for depressive disorder?,Severity of depression,Comorbidity with anxiety,Substance abuse history,Gender differences,Substance abuse history,3
15990430,Depression,Prognostic,"Among alcohol-dependent patients, what pre-treatment variable increased the likelihood of non-abstinence at the six-month follow-up?",Previous successful treatments,Lower severity of alcohol dependence,Higher degree of psychopathology,Increased social support,Higher degree of psychopathology,3
23249815,Depression,Factoid,What type of stimulation was analyzed in the meta-analysis for its efficacy in treating major depression?,Low-frequency repetitive transcranial magnetic stimulation,High-frequency transcranial magnetic stimulation,Deep brain stimulation,Electroconvulsive therapy,High-frequency transcranial magnetic stimulation,2
32556377,Depression,Prognostic,What trend in suicide mortality rates was observed among individuals with mental disorders compared to the general population?,Fluctuating rates in mental disorders,Increasing rates in both populations,Decreasing rates in mental disorders and stable in the general population,Stable rates in mental disorders but decreasing in the general population,Stable rates in mental disorders but decreasing in the general population,4
23701752,Depression,Diagnostic,Which psychiatric disorder was significantly associated with suicide attempts by jumping from a height?,Anxiety disorders,Mood disorders,Schizophrenia spectrum disorders,Personality disorders,Schizophrenia spectrum disorders,3
29306690,Depression,Prognostic,What treatment approaches showed differential improvement across depressive symptom factors for major depressive disorder?,Placebo vs. drug treatment,Psychotherapy vs. support groups,Electroconvulsive therapy vs. psychotherapy,Escitalopram and duloxetine vs. CBT,Escitalopram and duloxetine vs. CBT,4
34431616,Depression,Diagnostic,Higher levels of resilience in individuals with schizophrenia were associated with lower severity of which symptoms?,Positive symptoms,Cognitive deficits,Psychotic symptoms,Mania symptoms,Cognitive deficits,2
37431442,Depression,Prognostic,How might offspring of mothers with high maladaptive personality traits expect to experience depressive symptoms during adolescence compared to those with low maladaptive traits?,Higher levels,Lower levels,Irregular levels,No difference,Higher levels,1
35206951,Depression,Preventive,What strategies should be implemented to improve early identification and management of mental health issues among adolescents in India?,Community outreach programs,Digital health interventions,School-based programs,All of the above,All of the above,4
23015543,Depression,Preventive,Which mechanism underlying incensole acetate's antidepressant-like effects may be targeted for developing new treatments for depressive disorders?,Serotonin receptor modulation,Dopamine pathway alteration,HPA axis and neurotrophic factor expression,GABAergic transmission enhancement,HPA axis and neurotrophic factor expression,3
22782089,Depression,Diagnostic,Which psychosocial factor is associated with a higher prevalence of depression among electricity workers?,Job satisfaction,Job stability,High reward,Low reward,Low reward,4
35479498,Depression,Diagnostic,What dysfunction is linked to the negative emotional bias commonly observed in individuals with major depressive disorder?,Visual processing dysfunction,Interoception dysfunction,Auditory processing difficulties,Cognitive flexibility issues,Interoception dysfunction,2
36347799,Depression,Preventive,What is a crucial support strategy to assist NICU mothers in enhancing their mother-infant bonding and mental health?,Nutritional support,Pain management,Psychological counseling,Increased visitation hours,Psychological counseling,3
21451946,Depression,Factoid,Which cognitive style is identified as being more strongly related to depressive symptoms in girls compared to boys?,Positive cognitive style,Abstract cognitive style,Negative cognitive style,Ruminative cognitive style,Negative cognitive style,3
33235529,Depression,Diagnostic,Which gene's promoter region is implicated in the epigenetic mechanisms associated with adolescent depressive disorder and nonsuicidal self-injury?,BDNF,SLC6A4,POMC,COMT,POMC,3
33514336,Depression,Prognostic,Which factor was identified as protective against depressive symptoms among Chinese college students during the COVID-19 pandemic?,Limited social interactions,Perceived social support,Higher academic workload,Increased screen time,Perceived social support,2
39025032,Depression,Factoid,Which form of Tai Chi was shown to be more effective in reducing depression among elderly individuals?,Yoga,Aerobics,Augmented Reality Tai Chi,Traditional Tai Chi,Augmented Reality Tai Chi,3
27924053,Depression,Prognostic,How do changes in depressive symptoms influence the risk of experiencing a subsequent stroke?,Stable depressive symptoms have no effect on stroke risk,Improved symptoms suggest higher risk,Improvements in depressive symptoms reduce stroke risk,Worsening depressive symptoms increase stroke risk,Improvements in depressive symptoms reduce stroke risk,3
34559226,Depression,Diagnostic,Which prior mental health condition significantly increases the risk of nonfatal self-injury in cancer patients?,Post-traumatic stress disorder,Bipolar disorder,Anxiety disorders,Severe psychiatric illness,Severe psychiatric illness,4
23027586,Depression,Diagnostic,Which diagnosis was more likely to lead to the receipt of primary mental health care among inmates?,Schizophrenia,Bipolar disorder,Major depressive disorder,Anxiety disorder,Major depressive disorder,3
35403067,Depression,Preventive,Which behavioral factor should be addressed to mitigate the impact of depressive symptoms on inflammation in pregnant African American women?,Cigarette smoking,Dietary habits,Physical inactivity,Sleep duration,Cigarette smoking,1
37640429,Depression,Prognostic,How does the presence of psychiatric disorders prior to pediatric-onset immune-mediated inflammatory diseases (pIMID) influence the risk of further psychiatric issues after pIMID onset?,Predicts complete recovery,Decreases risk,Increases risk,No effect,Increases risk,3
34918083,Depression,Prognostic,How might an increase in benefit finding impact depressive symptoms in childhood cancer survivors over time?,It may reduce depressive symptoms,It may increase depressive symptoms,It may cause relapse into anxiety,It will have no effect on depressive symptoms,It may reduce depressive symptoms,1
34613359,Depression,Factoid,Which brain region exhibited reduced gamma-aminobutyric acid (GABA) levels and elevated neural variability in patients with major depressive disorder?,Striatum,Occipital Cortex,Hippocampus,Medial Prefrontal Cortex,Medial Prefrontal Cortex,4
35473735,Depression,Preventive,What intervention is being studied for the alleviation of depressive symptoms in patients undergoing major surgery?,Cognitive behavioral therapy,Esketamine administration,Talk therapy,Exercise programs,Esketamine administration,2
